,bps,total_points,games,time,goals,xG,assists,xA,shots,key_passes,npg,npxG,xGChain,xGBuildup,opp_shots,opp_goals,opp_xG,opp_against_shots,opp_against_goals,opp_against_xG
13468,0,0,4,4,0,0.1141080036759376,0,0.0,1,0,0,0.1141080036759376,0.1141080036759376,0.0,602,94,87.5468477671966,294,33,35.49565150868148
13469,19,2,38,3130,1,2.2566577959805727,0,2.0211693542078137,21,16,1,2.2566577959805727,11.169189976528289,10.764644430950284,475,42,52.75659039057791,501,55,56.92689578980208
13472,0,0,27,1700,1,1.3262846283614635,2,1.793226939626038,23,23,1,1.3262846283614635,8.143409481272101,5.918664623051882,431,55,51.374790051952,506,53,76.09509134711698
13475,0,0,8,646,0,0.301153801381588,0,0.0,6,0,0,0.301153801381588,0.9053538031876088,0.9053538031876088,370,38,42.29227340361104,557,68,69.67875737557188
13476,0,0,8,646,0,0.301153801381588,0,0.0,6,0,0,0.301153801381588,0.9053538031876088,0.9053538031876088,594,58,75.74508742708713,480,43,51.70642548147589
13484,0,0,6,166,0,0.2445639120414853,0,0.1819901317358017,5,2,0,0.2445639120414853,0.5240764729678631,0.2133926674723625,617,72,84.13641863968223,394,53,56.97241372987628
13485,3,1,23,988,0,0.1294596353545785,0,0.4400514382869005,6,8,0,0.1294596353545785,4.439508566632867,4.140980340540409,602,94,87.5468477671966,294,33,35.49565150868148
13489,9,2,35,1590,3,2.5371697302907705,1,2.6282018795609474,28,21,3,2.5371697302907705,8.282571202144027,3.598362954333425,431,55,51.374790051952,506,53,76.09509134711698
13491,0,0,23,1809,2,1.0540769854560494,1,0.305135702714324,11,7,2,1.0540769854560494,7.35240276902914,7.254468761384487,431,55,51.374790051952,506,53,76.09509134711698
13493,22,5,31,2215,1,1.341551687568426,1,1.0200357679277658,14,10,1,1.341551687568426,10.263392875902356,9.933882373385131,357,37,40.80111336475238,627,71,72.09495181264356
13494,9,2,24,1790,0,0.0835402803495526,1,0.6932991156354547,4,7,0,0.0835402803495526,4.049316678196192,3.758611302822828,419,51,51.5329648591578,578,68,65.14319821633399
13496,2,1,8,73,0,0.182050397619605,0,0.0916864015161991,3,2,0,0.182050397619605,0.2159352004528045,0.0250358004122972,594,58,75.74508742708713,480,43,51.70642548147589
13498,10,2,38,3378,9,5.408911099657416,4,6.058508426882327,44,72,7,2.3642341531813145,10.5485019069165,8.641763718798757,410,58,62.64052318222821,562,46,55.60994510445744
13500,2,1,28,1391,4,3.559207702055573,2,1.4241413976997137,29,16,4,3.559207702055573,6.061167903244495,1.573473684489727,370,38,42.29227340361104,557,68,69.67875737557188
13501,17,5,28,1391,4,3.559207702055573,2,1.4241413976997137,29,16,4,3.559207702055573,6.061167903244495,1.573473684489727,594,58,75.74508742708713,480,43,51.70642548147589
13502,3,1,16,750,0,0.1488308310508728,0,0.3812321983277797,3,2,0,0.1488308310508728,3.684811688959599,3.684811688959599,427,40,43.76600298844278,459,49,55.09286420047283
13503,0,0,16,750,0,0.1488308310508728,0,0.3812321983277797,3,2,0,0.1488308310508728,3.684811688959599,3.684811688959599,464,48,51.998012396506965,529,78,71.88791078515351
13504,0,0,7,157,0,0.08036869764328,0,0.1288376990705728,2,3,0,0.08036869764328,1.023649286478758,0.8748480901122093,427,40,43.76600298844278,459,49,55.09286420047283
13505,0,0,7,157,0,0.08036869764328,0,0.1288376990705728,2,3,0,0.08036869764328,1.023649286478758,0.8748480901122093,464,48,51.998012396506965,529,78,71.88791078515351
13506,5,1,25,1511,0,0.3268246091902256,0,1.4374469444155693,9,13,0,0.3268246091902256,6.943540018051863,6.189002115279436,431,55,51.374790051952,506,53,76.09509134711698
13507,0,0,26,1710,6,3.789094930514693,3,4.790035545825958,21,43,6,3.789094930514693,15.04737131856382,7.707608195021747,427,40,43.76600298844278,459,49,55.09286420047283
13508,22,6,26,1710,6,3.789094930514693,3,4.790035545825958,21,43,6,3.789094930514693,15.04737131856382,7.707608195021747,464,48,51.998012396506965,529,78,71.88791078515351
13509,0,0,22,1376,0,0.1680589988827705,0,0.7472324855625629,5,9,0,0.1680589988827705,6.350732691586018,5.691335782408714,427,40,43.76600298844278,459,49,55.09286420047283
13510,7,1,22,1376,0,0.1680589988827705,0,0.7472324855625629,5,9,0,0.1680589988827705,6.350732691586018,5.691335782408714,464,48,51.998012396506965,529,78,71.88791078515351
13513,11,0,21,1443,0,0.120236212387681,0,0.0427149012684822,7,1,0,0.120236212387681,6.305879516527057,6.20889599993825,416,31,38.416544328443706,557,58,64.12520449981093
13514,20,8,37,2898,5,1.9304941780865192,6,3.59164313133806,23,48,5,1.9304941780865192,9.59474617615342,6.600326562300324,414,36,39.73569872695953,530,73,69.8616302870214
13518,0,0,8,288,0,0.5538489818572998,0,0.0,2,0,0,0.5538489818572998,0.2988718040287494,0.2795934043824672,357,37,40.80111336475238,627,71,72.09495181264356
13520,9,2,30,1017,4,9.223067251965404,1,1.481980249285698,41,9,4,9.223067251965404,10.200598530471323,1.7821177616715431,430,34,51.04135813936591,573,57,69.68157005030662
13523,0,0,32,2839,3,3.122492080554366,1,1.1658173147588968,30,7,3,3.122492080554366,14.182128950953484,14.01483904197812,416,31,38.416544328443706,557,58,64.12520449981093
13524,0,0,7,606,2,1.6610938757658005,0,0.0843361243605613,8,1,2,1.6610938757658005,0.7217651586979628,0.1148442979902029,596,88,81.363066569902,342,43,46.43951691221446
13526,9,3,28,2178,0,0.3386984970420599,0,0.4867018014192581,8,12,0,0.3386984970420599,4.259000528603792,3.825942753814161,464,48,51.998012396506965,529,78,71.88791078515351
13528,-1,3,30,2120,2,2.6102962754666805,7,5.482720654457808,43,47,2,2.6102962754666805,9.842267464846373,4.0003888993524015,602,94,87.5468477671966,294,33,35.49565150868148
13529,1,2,33,2031,4,4.778411947190762,4,5.5339578883722425,51,30,4,4.778411947190762,13.001362528651953,3.578845404088497,419,51,51.5329648591578,578,68,65.14319821633399
13530,27,7,30,2485,10,8.489387180656195,9,7.773198906332254,85,69,9,6.967049431055784,15.354668013751509,6.399377454072237,432,51,53.06513203680515,433,46,59.01182442111895
13532,0,0,14,336,0,0.913382014259696,1,0.6336369244381785,11,5,0,0.913382014259696,2.081893088296056,0.8175896219909191,522,70,60.43706954689696,520,63,53.026400515809655
13533,3,1,18,845,0,0.3042332818731665,0,0.1408364623785019,6,2,0,0.3042332818731665,2.7923527229577303,2.643001276999712,602,94,87.5468477671966,294,33,35.49565150868148
13534,3,1,28,1919,6,7.405153378844261,3,4.861129405908287,41,34,6,7.405153378844261,13.539876326918602,3.041725432500243,431,55,51.374790051952,506,53,76.09509134711698
13535,4,1,35,2084,0,0.8594531016424298,2,3.592609709128737,23,31,0,0.8594531016424298,13.003664009273052,10.28102646395564,416,31,38.416544328443706,557,58,64.12520449981093
13536,0,0,26,1788,0,0.1207122802734375,0,0.0746328979730606,3,2,0,0.1207122802734375,3.1115625351667404,3.036929935216904,610,75,85.09102913178504,371,47,58.97577587934211
13537,0,0,24,779,1,1.8723955135792492,1,0.4368242975324392,18,12,1,1.8723955135792492,3.675874702632427,1.6829779082909226,431,55,51.374790051952,506,53,76.09509134711698
13538,3,3,30,1204,3,1.7566156624816358,1,0.9099286124110222,21,12,3,1.7566156624816358,3.687783553730696,2.180652843788266,617,72,84.13641863968223,394,53,56.97241372987628
13539,14,1,29,2217,2,1.3350814320147038,1,2.1753706987947226,16,13,2,1.3350814320147038,5.012533586472273,3.33086527697742,370,38,42.29227340361104,557,68,69.67875737557188
13540,5,1,29,2217,2,1.3350814320147038,1,2.1753706987947226,16,13,2,1.3350814320147038,5.012533586472273,3.33086527697742,594,58,75.74508742708713,480,43,51.70642548147589
13541,0,0,17,575,0,0.0252592992037534,0,0.3976358901709318,1,10,0,0.0252592992037534,1.6489808280020952,1.5293232388794422,475,42,52.75659039057791,501,55,56.92689578980208
13546,0,0,26,1842,0,1.7420261716470122,2,1.0617644041776657,26,7,0,1.7420261716470122,3.5049553960561752,1.5388160664588213,464,48,51.998012396506965,529,78,71.88791078515351
